src,exam_type,subject,chapter,chunks,sort_order,is_active
syllabus_nodes,NEET,Physics,Systems of Particles and Rotational Motion,,6,true
syllabus_nodes,NEET,Physics,Gravitation,,7,true
syllabus_nodes,NEET,Physics,Mechanical Properties of Solids,,8,true
syllabus_nodes,NEET,Physics,Mechanical Properties of Fluids,,9,true
syllabus_nodes,NEET,Physics,Thermal Properties of Matter,,10,true
syllabus_nodes,NEET,Physics,Thermodynamics,,11,true
syllabus_nodes,NEET,Physics,Kinetic Theory,,12,true
syllabus_nodes,NEET,Physics,Oscillations,,13,true
syllabus_nodes,NEET,Physics,Waves,,14,true
syllabus_nodes,NEET,Physics,Electric Charges and Fields,,100,true
syllabus_nodes,NEET,Physics,Electrostatic Potential and Capacitance,,101,true
syllabus_nodes,NEET,Physics,Current Electricity,,102,true
syllabus_nodes,NEET,Physics,Moving Charges and Magnetism,,103,true
syllabus_nodes,NEET,Physics,Magnetism and Matter,,104,true
syllabus_nodes,NEET,Physics,Electromagnetic Induction,,105,true
syllabus_nodes,NEET,Physics,Alternating Current,,106,true
syllabus_nodes,NEET,Physics,Electromagnetic Waves,,107,true
syllabus_nodes,NEET,Physics,Ray Optics and Optical Instruments,,108,true
syllabus_nodes,NEET,Physics,Wave Optics,,109,true
syllabus_nodes,NEET,Physics,Dual Nature of Radiation and Matter,,110,true
syllabus_nodes,NEET,Physics,Atoms,,111,true
syllabus_nodes,NEET,Physics,Nuclei,,112,true
syllabus_nodes,NEET,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",,113,true
syllabus_nodes,NEET,Physics,Physical World,,900,true
syllabus_nodes,NEET,Physics,Communication Systems,,950,true
